id,district,address,total_price,price_per_meter,build_time,num_of_bedrooms,num_of_living_rooms,size,orientation,building_type,num_of_floors
2380,房山,太平庄西里2号院,稍低价格,稍低价格,2001,2,1,中价格,南 北,中楼层 ,6
2381,房山,北京理工大学家属楼,低价格,稍低价格,1995,2,1,低价格,北 南,低楼层 ,6
2382,房山,长阳半岛1号院,稍低价格,中价格,2012,2,1,稍低价格,南,中楼层 ,21
2383,房山,绿城百合公寓春晓苑,稍低价格,稍低价格,2005,3,2,中高价格,南 北,中楼层 ,5
2384,房山,海逸半岛,中价格,稍低价格,2005,3,2,高价格,南 北,高楼层 ,13
2385,房山,苏庄二里,稍低价格,稍低价格,2000,3,1,中价格,南 北,中楼层 ,6
2386,房山,城关北里社区,低价格,稍低价格,1986,2,1,稍低价格,南 北,高楼层 ,6
2387,房山,政通路2号院,稍低价格,稍低价格,2000,2,1,中价格,东 西,高楼层 ,6
2388,房山,芭蕾雨悦都北区,稍低价格,中价格,2011,3,1,稍低价格,南 北,高楼层 ,9
2389,房山,绿城百合公寓霁雪苑,稍低价格,稍低价格,2010,1,1,稍低价格,南 北,中楼层 ,12
2390,房山,长阳国际城二区,稍低价格,稍低价格,2012,3,2,稍低价格,南 北,顶层 ,20
2391,房山,山水汇豪苑B区,低价格,稍低价格,2011,2,1,稍低价格,南 北,底层 ,6
2392,房山,田家园小区,低价格,低价格,2005,3,1,中价格,南 北,顶层 ,6
2393,房山,昊腾家园,稍低价格,低价格,2005,3,1,中高价格,南 北,低楼层 ,6
2394,房山,北潞春家园,低价格,稍低价格,1999,1,1,稍低价格,西南,中楼层 ,10
2395,房山,合景领峰7号院,中价格,稍低价格,2015,3,2,中价格,南 北,顶层 ,15
2396,房山,明峻嘉园,低价格,稍低价格,2013,3,1,中价格,南 北,高楼层 ,9
2397,房山,中冶蓝城东区,稍低价格,稍低价格,2014,3,1,稍低价格,南 北,高楼层 ,15
2398,房山,罗府家园,稍低价格,稍低价格,2005,2,1,中价格,东 西,高楼层 ,12
2399,房山,碧桂园小区A区,稍低价格,稍低价格,2001,3,1,中高价格,南 北,中楼层 ,6
2400,房山,西潞园四里,低价格,稍低价格,1994,2,1,稍低价格,南,中楼层 ,7
2401,房山,昊文温泉家园,低价格,稍低价格,1994,2,1,低价格,南,低楼层 ,6
2402,房山,燕化星城建德一里,低价格,稍低价格,1994,2,1,稍低价格,南 北,顶层 ,6
2403,房山,北潞馨家园,低价格,稍低价格,2010,1,1,稍低价格,南,顶层 ,5
2404,房山,永乐园三里,低价格,稍低价格,2001,2,1,低价格,南 北,顶层 ,6
2405,房山,北潞芳家园,稍低价格,稍低价格,2002,2,1,稍低价格,南 北,中楼层 ,5
2406,房山,福胜家园,低价格,稍低价格,2007,2,1,稍低价格,南 北,顶层 ,6
2407,房山,国誉府,中高价格,中价格,2017,4,2,高价格,南 北,低楼层 ,19
2408,房山,山水汇豪苑A区,低价格,稍低价格,2003,2,1,稍低价格,南 北,中楼层 ,6
2409,房山,月华小区,稍低价格,稍低价格,1998,3,1,中价格,南 北,底层 ,6
